Sample15	4859	15	4.859	3.087	3.0
Sample4	6990	0	6.990	0	0.0
Sample9	1826	5	1.826	2.738	3.0
Sample2	10361	0	10.361	0	0.0
Sample7	5858	0	5.858	0	0.0
Sample5	5697	0	5.697	0	0.0
Sample1	7774	0	7.774	0	0.0
Sample6	6466	0	6.466	0	0.0
Sample13	1629	2	1.629	1.227	1.0
Sample10	2961	10	2.961	3.377	3.0
Sample14	3564	7	3.564	1.964	2.0
Sample3	3734	1	3.734	.267	0.5
Sample8	4577	0	4.577	0	0.0
Sample12	2283	5	2.283	2.190	2.0
Sample16	5347	18	5.347	3.366	3.0
Sample11	2076	10	2.076	4.816	5.0
